"label","labelO","labelCi"
"Conferenza “Aemilia: la nostra strada”","Indirizzo della Sede di: Complesso Monumentale della Pilotta","Parma"
"“Settimane musicali Farnesiane”: Integrale delle suite per violoncello di J.S. Bach Serata 1 con Santiago Cañón-Valencia","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"""Settimane musicali Farnesiane"": Integrale delle suite per violoncello di J.S. Bach Serata 2 con Miriam Prandi","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Concordia Sagittaria,  area archeologica sotto la Cattedrale","Concordia Sagittaria"
"Sabato 14 maggio: Notte Europea dei Musei 2022. Il programma della Galleria Nazionale","Indirizzo della Sede di: Galleria Nazionale d'Arte Moderna e Contemporanea","Roma"
"Tra acqua e vento: un modello del Bernini","Indirizzo della Sede di: Gallerie Estensi - Galleria estense","Modena"
"IL MUSEO CHE LEGGE. Alla scoperta delle 'Memorie di Adriano'","Indirizzo della Sede di: Museo archeologico nazionale ""Mario Torelli"", Parco archeologico e Catacombe ebraiche","Venosa"
"Museo Archeologico Nazionale di Verona | Apertura Festiva Pasqua 2022_Copia_Copia","Indirizzo della Sede di: Museo archeologico nazionale di Verona","Verona"
"Notte Europea dei Musei","Indirizzo della Sede di: Museo e Real Bosco di Capodimonte","Napoli"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo nazionale Concordiese di Portogruaro","Portogruaro"
"Museo Nazionale / Virtual Museum, Anteprima di un racconto digitale.","Indirizzo della Sede di: Museo nazionale di Ravenna","Ravenna"
"Con gli occhi del Direttore > Visita guidata con Emanuela Fiori alle nuove sale dei dipinti","Indirizzo della Sede di: Museo nazionale di Ravenna","Ravenna"
"Notte Europea dei Musei a Palazzo Pepoli Campogrande","Indirizzo della Sede di: Palazzo Pepoli Campogrande","Bologna"
"Notte Europea dei Musei al Palazzo Reale di Napoli","Indirizzo della Sede di: Palazzo Reale di Napoli","Napoli"
"Arte e sensualità nelle case i Pompei","Indirizzo della Sede di: Parco archeologico di Pompei - Area archeologica di Pompei","Pompei"
"Notte Europea dei Musei alla Pinacoteca Nazionale di Bologna","Indirizzo della Sede di: Pinacoteca Nazionale di Bologna","Bologna"
"SALONE DELL’ARTE E DEL RESTAURO DI FIRENZE","Indirizzo della Sede di: Segretario Generale","Firenze"
"Notte Europea dei Musei a Palazzo Patrizi Clementi","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Roma"
"Celestino V e l'Abbazia","Indirizzo della Sede di: Abbazia di Santo Spirito al Morrone","Sulmona"
"Notte dei musei 2022 - apertura straordinaria -  Anfiteatro Verlasce","Indirizzo della Sede di: Anfiteatro verlasce","Venafro"
"Parco Archeologico e Antiquarium di Castelseprio, Notte Europea dei Musei: apertura straordinaria","Indirizzo della Sede di: Antiquarium e Parco archeologico di Castelseprio","Castelseprio"
"NOTTE DEI MUSEI A FELTRE (BL)","Indirizzo della Sede di: Area archeologica di Feltre","Feltre"
"Incontro e Presentazione nella Sala di Studio della Biblioteca Riccardiana","Indirizzo della Sede di: Biblioteca Riccardiana di Firenze","Firenze"
"Giuliana Morandini (1934-2019), narratrice e saggista, dalla Regione all’Europa - mostra documentaria","Indirizzo della Sede di: Biblioteca statale Stelio Crise di Trieste","Trieste"
"Cappella Espiatoria, Notte Europea dei Musei: apertura serale straordinaria","Indirizzo della Sede di: Cappella Espiatoria","Monza"
"Notte dei Musei a Castello di San Terenzo","Indirizzo della Sede di: Castello di San Terenzo","Lerici"
"Chiesa di San Pietra a Tuscania - Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Chiesa di San Pietro","Tuscania"
"Una notte al Museo - visite guidate","Indirizzo della Sede di: Comprensorio archeologico e Antiquarium di Minturnae e Ponte Real Ferdinando","Minturno"
", MuGa - Museo Garibaldino - Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Mentana"
"Caroto e le arti tra Mantegna e Veronese","Indirizzo della Sede di: Direzione Regionale Musei Veneto","Verona"
"boc","Indirizzo della Sede di: Direzione regionale Musei Calabria","Reggio di Calabria"
"GEP 2021 - Ex Chiesa del Tau_Copia","Indirizzo della Sede di: Ex Chiesa del Tau","Pistoia"
"NOTTE DEI MUSEI A PALAZZO SPINOLA","Indirizzo della Sede di: Gallerie Nazionali di Palazzo Spinola","Genova"
"Uno sguardo oltre le Alpi","Indirizzo della Sede di: MUPRE - Museo Nazionale della Preistoria della Valle Camonica","Capo di Ponte"
"Amiternum, isola della memoria. Il parco archeologico come opera contemporanea","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Manzù: dentro il museo fuori dal deposito","Indirizzo della Sede di: Museo Giacomo Manzù","Ardea"
"NOTTE DEI MUSEI A PALAZZO REALE","Indirizzo della Sede di: Museo Palazzo Reale di Genova","Genova"
"Museo archeologico nazionale Prenestino - Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Museo archeologico nazionale Prenestino, Santuario della Fortuna Primigenia e Complesso degli edifici del foro di Praeneste","Palestrina"
"Spiriti di Olimpia","Indirizzo della Sede di: Museo archeologico nazionale ""G. Carettoni"" e Area archeologica di Casinum","Cassino"
"Una notte al museo - quando tutto prende vita","Indirizzo della Sede di: Museo archeologico nazionale ""La Civitella"" e Monumenti e Aree archeologiche dell'antica Teate","Chieti"
"Abruzzo terra di guerrieri","Indirizzo della Sede di: Museo archeologico nazionale d'Abruzzo - Villa Frigerj","Chieti"
"Preistoria riscoperta","Indirizzo della Sede di: Museo archeologico nazionale della Lomellina","Vigevano"
"7 pezzi “brutti”. Racconti di reperti poco belli al M A N Marche.","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"Notte Europea dei Musei - apertura straordinaria serale e concerto","Indirizzo della Sede di: Museo archeologico nazionale di Civitavecchia","Civitavecchia"
"Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Museo archeologico nazionale di Formia","Formia"
"""NOTTETEMPO. AREE SACRE E RITUALI NEL MONDO GRECO a cura delle dott.sse Roberta Eliodoro e Cristiana La Serra, collaboratrici ai Servizi Educativi del Museo","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"""STUDIO DIAGNOSTICO  DELLE TERRECOTTE ARCHITETTONICHE DI MARASA' ""","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"ADELE CANALE, UNA CARRIERA PER I BENI ARCHEOLOGICI CALABRESI","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"""LA VOCE DEGLI ETRUSCHI – Le iscrizioni di Tuscania""","Indirizzo della Sede di: Museo archeologico nazionale di Tuscania","Tuscania"
"Museo Archeologico Nazionale di Vulci - Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Museo archeologico nazionale di Vulci","Canino"
"Notte dei Musei 2022 - Museo Archeologico Arcevia","Indirizzo della Sede di: Museo archeologico statale di Arcevia","Arcevia"
"Conversazioni con la Storia | Napoli angioina","Indirizzo della Sede di: Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"Pasqua a Palazzo Taglieschi_Copia","Indirizzo della Sede di: Museo delle arti e tradizioni popolari dell’Alta Valle del Tevere - Palazzo Taglieschi","Anghiari"
"Notte Europea dei Musei - apertura straordinaria serale_Copia","Indirizzo della Sede di: Museo delle navi romane di Nemi","Nemi"
"GEP 2021 - Apertura straordinaria Casa Vasari_Copia_Copia_Copia","Indirizzo della Sede di: Museo di Casa Vasari","Arezzo"
"Anni interessanti. Momenti di vita italiana 1960 - 1975","Indirizzo della Sede di: Museo di Roma in Trastevere","Roma"
"Notte dei Musei al Museo Nazionale degli Strumenti Musicali","Indirizzo della Sede di: Museo nazionale degli strumenti musicali","Roma"
"Aperture straordinarie serali e visite nei mesi estivi a cura del personale del museo della Certosa di Calci_Copia","Indirizzo della Sede di: Museo nazionale della Certosa monumentale di Calci","Calci"
"Casa Giusti aperta per Pasqua 2022_Copia_Copia_Copia","Indirizzo della Sede di: Museo nazionale di Casa Giusti","Monsummano Terme"
"La Notte Europea dei Musei a Castel Sant'Angelo","Indirizzo della Sede di: Museo nazionale di Castel Sant'Angelo e Passetto di Borgo","Roma"
"Pasqua al Museo di San Matteo_Copia_Copia","Indirizzo della Sede di: Museo nazionale di San Matteo","Pisa"
"Apertura straordinaria del Museo Nazionale di Villa Guinigi per la Befana 2022_Copia","Indirizzo della Sede di: Museo nazionale di Villa Guinigi","Lucca"
"Museo Nazionale Etrusco di Rocca Albornoz - Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Museo nazionale etrusco Rocca Albornoz","Viterbo"
"Sabato 14 Maggio 2022 - Torna la Notte dei Musei","Indirizzo della Sede di: Museo storico e il Parco del Castello di Miramare","Trieste"
"Visita guidata all'affresco ""La  crocifissione di San Desiderio e dei diecimila martiri"" di Sebastiano Vini","Indirizzo della Sede di: Oratorio di San Desiderio","Pistoia"
"Apertura straordinaria del Parco archeologico di Veio - 19 e 20 maggio","Indirizzo della Sede di: Parco Archeologico di Veio","Roma"
"Notte Europea dei Musei al Museo Nazionale Archeologico","Indirizzo della Sede di: Parco archeologico di Cerveteri e Tarquinia - Museo archeologico nazionale di Tarquinia","Tarquinia"
"Apertura straordinaria","Indirizzo della Sede di: Parco archeologico di Cerveteri e Tarquinia - Museo nazionale archeologico Cerite","Cerveteri"
"14 MAGGIO 2022: NOTTE EUROPEA DEI MUSEI A PAESTUM E VELIA.  VISITE GUIDATE CON LANTERNE","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"14 MAGGIO 2022: NOTTE EUROPEA DEI MUSEI A PAESTUM E VELIA.  VISITE GUIDATE CON LANTERNE.","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Velia","Ascea"
"14 MAGGIO 2022: IN OCCASIONE DELLA NOTTE EUROPEA DEI MUSEI, VISITE GUIDATE CON LANTERNE A PAESTUM E VELIA.","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Museo archeologico nazionale","Capaccio Paestum"
"Giornata Internazionale dei Musei: il Laboratorio di Restauro della Pinacoteca di Brera","Indirizzo della Sede di: Pinacoteca di Brera","Milano"
"Notte dei Musei 2022 - Rocca Roveresca Senigallia","Indirizzo della Sede di: Rocca Roveresca di Senigallia","Senigallia"
"Torre di Cicerone di Arpino - Notte Europea dei Musei - apertura straordinaria serale","Indirizzo della Sede di: Torre di Cicerone","Arpino"
"""VILLINVITA"" aperture straordinarie pomeridiane e serali e visite guidate gratuite a Poggio a Caiano_Copia_Copia","Indirizzo della Sede di: Villa medicea di Poggio a Caiano e Museo della Natura Morta","Poggio a Caiano"
"Il patrimonio invisibile del Museo Archeologico Nazionale ""Massimo Pallottino"" di Melfi","Indirizzo della Sede di: Museo archeologico nazionale del Melfese ""Massimo Pallottino""","Melfi"
"Storie di archivi, Storia di uomini","Indirizzo della Sede di: Archivio di Stato di Torino","Torino"
"Il colore della Repubblica. I silenzi della storia e le storie ritrovate di Silvana Patriarca","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Festa della Musica 2022. Nuovi “Pezzi da 90 della canzone d’autore”","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Impressum est mostra a cura di Marina Bindella e Beatrice Peria","Indirizzo della Sede di: Biblioteca Vallicelliana","Roma"
"""Settimane musicali Farnesiane"": Filarmonica Arturo Toscanini diretta da Enrico Onofri violino e direttore","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"""Settimane musicali Farnesiane"": Giulio Prandi direttore","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"Giornata Internazionale dei Musei al MArTA","Indirizzo della Sede di: Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Il Potere dei Musei - Grand Tour Marche 2022, Museo Archeologico Arcevia","Indirizzo della Sede di: Museo archeologico statale di Arcevia","Arcevia"
"International Museum Day al Museo Nazionale di Matera - Museo Ridola","Indirizzo della Sede di: Museo nazionale di Matera - Museo Domenico Ridola","Matera"
"Framelab + MNRa > Il racconto digitale del Museo Nazionale è online","Indirizzo della Sede di: Museo nazionale di Ravenna","Ravenna"
"La Gatta Prisca è on line a Palazzo Altemps_Copia_Copia","Indirizzo della Sede di: Museo nazionale romano - Crypta Balbi","Roma"
"La Gatta Prisca è on line a Palazzo Altemps","Indirizzo della Sede di: Museo nazionale romano - Palazzo Altemps","Roma"
"La Gatta Prisca è on line a Palazzo Altemps_Copia_Copia_Copia","Indirizzo della Sede di: Museo nazionale romano - Palazzo Massimo","Roma"
"La Gatta Prisca è on line a Palazzo Altemps_Copia","Indirizzo della Sede di: Museo nazionale romano - Terme di Diocleziano","Roma"
"Presentazione del libro 'Ionio' di Agnese Ferri","Indirizzo della Sede di: Palazzo Ducale di Tricarico","Tricarico"
"Dialoghi in Curia. Presentazione del volume “Vigna Barberini. III. La cenatio rotunda” a cura di Françoise Villedieu","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Il potere dei musei- Grand Tour Marche 2022. Rocca Roveresca","Indirizzo della Sede di: Rocca Roveresca di Senigallia","Senigallia"
"Le Antiche Stampe dei Mostri","Indirizzo della Sede di: Villa Reale di Monza","Monza"
"Presentazione del libro ""Con occhi torbidi e innocenti - Laura Betti nel cinema di Pasolini"" di Stefania Rimini","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"""Settimane musicali Farnesiane"": FINTE FOLLIE E VERACI PAZZIE","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"La Cattolica di Stilo all’International  Museum  Day 2022","Indirizzo della Sede di: La Cattolica","Stilo"
"Fantasmi e altri misteri. Fumetti in mostra","Indirizzo della Sede di: Musei Reali","Torino"
"Visita guidata alla mostra ""Le virtù dell’amicizia. Antelma Santini e Domicella d’Incisa di Camerana""","Indirizzo della Sede di: Museo Boncompagni Ludovisi per le arti decorative, il costume e la moda dei secoli XIX e XX","Roma"
"#GrandTourMusei2022","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"RHEGION: TOPOGRAFIA DI UNA COLONIA","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"CONFERENZA LA TOMBA DI QUINTO FABIO","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"La collezione epigrafica del Cardinale De Zelada (1717-1801)","Indirizzo della Sede di: Museo nazionale romano - Palazzo Altemps","Roma"
"""La cultura della plastica: arte, design, ambiente"",","Indirizzo della Sede di: Museo tattile statale Omero","Ancona"
"Visita guidata: I Ridotti dei Procuratori di San Marco a cura di Susy Marcon","Indirizzo della Sede di: Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Il Palazzo Reale di Napoli partecipa l'International Museum Day 2022","Indirizzo della Sede di: Palazzo Reale di Napoli","Napoli"
"XII Giornata nazionale degli archivi di architettura","Indirizzo della Sede di: Archivio di Stato di Firenze","Firenze"
"MAGNA GRAECIA. UNA STORIA STRAORDINARIA AL CENTRO DEL MEDITERRANEO A CURA DEI SERVIZI DIDATTICI DEL MUSEO ARCHEOLOGICO NAZIONALE DI REGGIO CALABRIA","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"IL RESTAURO DEI CORREDI DELLE NECROPOLI DI CANALE, IANCHINA E PATARRITI INCONTRO SCIENTIFICO","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"IL RESTAURO DI UN MOSAICO DELLA VILLA DELL'ANNUNZIATA DI REGGIO CALABRIA","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"IL DIVINO RAFFAELLO CONFERENZA DELLA PROF.SSA FRANCESCA PAOLINO","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"Let’s Get Digital! NFT e nuove realtà dell’arte digitale","Indirizzo della Sede di: Palazzo Strozzi","Firenze"
"Tutti a bordo! I viaggi dei transatlantici nelle illustrazioni di Vittorio Accornero ed Edina Altara","Indirizzo della Sede di: Pinacoteca nazionale di Sassari","Sassari"
"Rete Scuole APD - Uno spazio per custodire: trasferimenti e concentrazioni di carte dall’Antico regime ai giorni nostri","Indirizzo della Sede di: Archivio di Stato di Modena","Modena"
"Presentazione volume","Indirizzo della Sede di: Archivio di Stato di Rimini","Rimini"
"""Efferatamente soppresa da un cinico discepolo di Landru, un femminicidio del 1925 ad Adria"" - Presentazione del volume","Indirizzo della Sede di: Archivio di Stato di Rovigo","Rovigo"
"Antonio Gramsci tra il vecchio mondo e il mondo nuovo” Dialoghi di archeologia architettura arte paesaggio","Indirizzo della Sede di: Basilica di San Saturnino","Cagliari"
"Ancora Storia di un gatto e di un topo che diventò suo amico","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Nemo bonus iurista nisi sit bartolista: il restauro dei Commentarii di Bartolo da Sassoferrato","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Ad Assisi con il Cepell conclusione del Maggio 2022 e Stati generali dei Patti per la lettura","Indirizzo della Sede di: Centro per il libro e la lettura","Roma"
"“Settimane musicali Farnesiane” con FEDERICO MARIA SARDELLI direttore","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"Van Gogh Multimedia e la stanza segreta","Indirizzo della Sede di: Direzione Regionale Musei Campania","Napoli"
"Un set alla moda, un secolo di cinema italiano tra fotografie e costumi","Indirizzo della Sede di: I percorsi del museo civico a Palazzo Cuttica","Alessandria"
"“Minima Juridica. Aspetti giuridici e legislativi della tutela del paesaggio”","Indirizzo della Sede di: Museo archeologico nazionale di Cagliari","Cagliari"
"L'altro MANN. I Depositi in mostra","Indirizzo della Sede di: Museo archeologico nazionale di Napoli","Napoli"
"Robert Doisneau","Indirizzo della Sede di: Museo dell’ara Pacis Augustae","Roma"
"Concerto per violoncello e pianoforte: Giovanni Gnocchi e Alessandro Stella","Indirizzo della Sede di: Museo nazionale romano - Palazzo Altemps","Roma"
"Rocca di Gradara - Passeggiando con il Direttore","Indirizzo della Sede di: Rocca demaniale di Gradara","Gradara"
"RESTAURO - SALONE INTERNAZIONALE DEI BENI CULTURALI E AMBIENTALI","Indirizzo della Sede di: Segretario Generale","Ferrara"
"Start Alimentazione sport bellezza ed altro","Indirizzo della Sede di: Biblioteca Nazionale di Cosenza","Cosenza"
"La dittatura della fantasia. Collage autobiografico di Remo Bianco","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Festa della Repubblica e 140° Anniversario della morte di Giuseppe Garibaldi.","Indirizzo della Sede di: Compendio garibaldino di Caprera","Sassari"
"VISITA GUIDATA  CURATA DAGLI STUDENTI DELL'ACCADEMIA DELLE BELLE ARTI, ORE 11.00","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Giornate Europee dell'Archeologia 2022 all'Area archeologica di Ostia antica","Indirizzo della Sede di: Parco Archeologico di Ostia Antica","Roma"
"Ostia antica Festival 2022","Indirizzo della Sede di: Parco archeologico di Ostia antica - Area archeologica di Ostia antica","Roma"
"Dott.ssa Elisa Lanza, dott. Giorgio Baratti: la necropoli di Ornavasso: nuove scoperte.","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Biella, Novara, Verbano-Cusio-Ossola e Vercelli","Novara"
"Visita guidata alla Sezione Archeologica “Enrico Bianchetti” del Museo del Paesaggio di Verbania","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Biella, Novara, Verbano-Cusio-Ossola e Vercelli","Novara"
"#ACARTEAPERTE  - Processi alle Carte","Indirizzo della Sede di: Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo","Palermo"
"""Argenti in Palazzo Mansi"" Presentazione del nuovo allestimento della collezione degli argenti, del manoscritto dell’inventario settecentesco e del nuovo volume a cura di Antonella Capitanio","Indirizzo della Sede di: Museo nazionale di Palazzo Mansi","Lucca"
"Invito alla visita della Tavoletta di Gabella del 1441 “La flagellazione di Cristo”","Indirizzo della Sede di: Archivio di Stato di Siena","Siena"
"Teatri di Pietra 2022 all'Anfiteatro Campano","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"100 anni dalla scoperta della tomba di Tutankhamon","Indirizzo della Sede di: Museo archeologico nazionale dell'Umbria","Perugia"
"Museo Archeologico Nazionale di Taranto e Festival della Valle d’Itria Un viaggio nella musica delle origini Dal 20 luglio al 5 agosto il programma delle visite  a tema","Indirizzo della Sede di: Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Arcevia Museo Archeologico - Eventi estate 2022","Indirizzo della Sede di: Museo archeologico statale di Arcevia","Arcevia"
"Sensi d'Estate - Ventunesima edizione 2022. Al Museo Tattile Statale Omero percorsi multisensoriali di Arte Teatro Musica Odori e Sapori.","Indirizzo della Sede di: Museo tattile statale Omero","Ancona"
"I venerdì di Ercolano.  Edizione 2022","Indirizzo della Sede di: Parco archeologico di Ercolano - Area archeologica","Ercolano"
"Al Parco Archeologico di Ercolano ripartono i Venerdì - Edizione 2022","Indirizzo della Sede di: Parco archeologico di Ercolano - Area archeologica","Ercolano"
"Vinicio Capossela in concerto a Paestum","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"Paolo Belli e la sua Big Bang in concerto a Velia","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Velia","Ascea"
"Gegè Telesforo in concerto a Velia","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Velia","Ascea"
"Ferragosto al museo. Apertura dell'Area Archeologia di Roselle","Indirizzo della Sede di: Area archeologica di Roselle","Grosseto"
"Ferragosto al Museo. Visita guidata al Tumulo della Pietrera e alla Tomba del Diavolino II","Indirizzo della Sede di: Area archeologica di Vetulonia","Castiglione della Pescaia"
"Il Museo di Casa Vasari con la Basilica di San Francesco tra i protagonisti della maratona musicale dell'Italian Brass Week_Copia","Indirizzo della Sede di: Basilica di San Francesco","Arezzo"
"SPECIALE MOSAICO DI NOTTE - BASILICA DI SANT’APOLLINARE IN CLASSE CON VISITA ALLA CRIPTA","Indirizzo della Sede di: Basilica di Sant'Apollinare in Classe","Ravenna"
"SPECIALE MOSAICO DI NOTTE – I BATTISTERI DI RAVENNA","Indirizzo della Sede di: Battistero degli Ariani","Ravenna"
"Ferragosto al ...  Castello di Capua","Indirizzo della Sede di: Castello di Capua","Gambatesa"
"Ferragosto al ...  Castello di Civitacampomarano","Indirizzo della Sede di: Castello di Civitacampomarano","Civitacampomarano"
"Ferragosto al Cenacolo di Andra del Sarto a San Salvi","Indirizzo della Sede di: Cenacolo di Andrea del Sarto a San Salvi","Firenze"
"Ferragosto al Cenacolo di Santa Apollonia","Indirizzo della Sede di: Cenacolo di Sant'Apollonia","Firenze"
"Ritorno al Futuro, a Bologna la mostra immersiva","Indirizzo della Sede di: Direzione Regionale Musei Emilia Romagna","Bologna"
"Ferragosto al Giardino della Villa medicea di Castello","Indirizzo della Sede di: Giardino della Villa medicea di Castello","Firenze"
"Il Mammut del Castello apertura 30 e 31 LUGLIO","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Ferragosto al ...  Museo di palazzo Pistilli","Indirizzo della Sede di: Museo Palazzo Pistilli","Campobasso"
"Ferragosto al ...  Museo archeologico di Santa Maria delle Monache","Indirizzo della Sede di: Museo archeologico Santa Maria delle Monache","Isernia"
"Ferragosto al Museo Archeologico Nazionale di Firenze","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"estemporanea dell’Accademia di Belle Arti per i Bronzi","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"La modernità dell’Astronomia antica. Con Massimo Capaccioli.","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"Ferragosto al MArTA","Indirizzo della Sede di: Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Ferragosto al Museo. Apertura straordinaria del Museo Archeologico ed  Area archeologica di Cosa","Indirizzo della Sede di: Museo archeologico nazionale ed Area archeologica di Cosa","Orbetello"
"Bora dei Frati","Indirizzo della Sede di: Museo archeologico versiliese ""Bruno Antonucci""","Pietrasanta"
"Il Museo di Casa Vasari con la Basilica di San Francesco tra i protagonisti della maratona musicale dell'Italian Brass Week","Indirizzo della Sede di: Museo di Casa Vasari","Arezzo"
"(s)Nodi: festival di musiche inconsuete 2022","Indirizzo della Sede di: Museo internazionale e biblioteca della musica","Bologna"
"Ferragosto al ...  Museo nazionale del Paleolitico","Indirizzo della Sede di: Museo nazionale del Paleolitico di Isernia","Isernia"
"Ferragosto al Museo Nazionale delle Residenze Napoleoniche Palazzina dei Mulini","Indirizzo della Sede di: Museo nazionale delle residenze Napoleoniche Palazzina dei Mulini","Portoferraio"
"Ferragosto al Museo Nazionale delle Residenze Napoleoniche Villa San Martino","Indirizzo della Sede di: Museo nazionale delle residenze Napoleoniche Villa S. Martino","Portoferraio"
"Ferragosto 2022 al Museo nazionale di Matera - Museo Ridola","Indirizzo della Sede di: Museo nazionale di Matera - Museo Domenico Ridola","Matera"
"""Tiresia, il mito tra le tue mani"" e ""La Collezione Rizzon""","Indirizzo della Sede di: Museo nazionale di Matera - Museo Domenico Ridola","Matera"
"Ferragosto 2022 - Museo nazionale di Matera","Indirizzo della Sede di: Museo nazionale di Matera - Palazzo Lanfranchi","Matera"
"Ferragosto al Museo Nazionale Etrusco di Chiusi","Indirizzo della Sede di: Museo nazionale etrusco e necropoli di Chiusi","Chiusi"
"Ferragosto al ...  Museo Sannitico","Indirizzo della Sede di: Museo sannitico","Campobasso"
"XXIV BORSA MEDITERRANEA DEL TURISMO ARCHEOLOGICO","Indirizzo della Sede di: Parco Archeologico di Paestum e Velia","Capaccio Paestum"
"Parco Archeologico dell'Appia Antica. Villa dei Quintili e Santa Maria Nova. Apertura festività del 15 agosto 2022 (Ferragosto)._Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Antiquarium di Lucrezia Romana","Roma"
"Parco Archeologico dell'Appia Antica. Villa dei Quintili e Santa Maria Nova. Apertura festività del 15 agosto 2022 (Ferragosto)._Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Parco Archeologico dell'Appia Antica. Villa dei Quintili e Santa Maria Nova. Apertura festività del 15 agosto 2022 (Ferragosto).","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Parco delle Tombe della via Latina e Basilica di Santo Stefano","Roma"
"Parco Archeologico dell'Appia Antica. Villa dei Quintili e Santa Maria Nova. Apertura festività del 15 agosto 2022 (Ferragosto)._Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
