"label","labelO","labelCi"
"L’immagine di Trento dal XVI al XX secolo","Indirizzo della Sede di: Museo diocesano tridentino","Trento"
"Dialoghi in Curia. Presentazione del volume “Arte romana” di Massimiliano Papini","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Giornate Europee dell'Archeologia al Parco archeologico del Colosseo","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Lunedì 26 dicembre 2022 apertura straordinaria dell'Antiquarium di Numana.","Indirizzo della Sede di: Antiquarium statale di Numana","Numana"
"Lunedì 26 dicembre 2022 apertura straordinaria dell'Antiquarium di Numana._Copia","Indirizzo della Sede di: Antiquarium statale di Numana","Numana"
"Presentazione libro","Indirizzo della Sede di: Archivio di Stato di Forlì-Cesena","Forlì"
"Apertura straordinaria","Indirizzo della Sede di: Archivio di Stato di Forlì-Cesena. Sezione di Cesena","Cesena"
"Conversazioni Musicali alla Marucelliana","Indirizzo della Sede di: Biblioteca Marucelliana","Firenze"
"TORCELLO FRA STORIA E LEGGENDA - Le iscrizioni latine a Torcello","Indirizzo della Sede di: Biblioteca Nazionale Marciana di Venezia","Venezia"
"""Un uomo in disparte. Racconti tenebrosi""","Indirizzo della Sede di: Biblioteca Nazionale di Cosenza","Cosenza"
"Presentazione del volume: “In cammino verso Santiago”.","Indirizzo della Sede di: Biblioteca Statale di Macerata","Macerata"
"""In memoria di Torquato Taramelli""","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Rita Coruzzi presenta il suo ultimo libro ""La Giudicessa - Storia di Eleonora di Arborea""","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Presentazione del libro ""SPIRITI E DEI - nella Sardegna Preistorica"" di Giorgio Murru e Nicola Castangia","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Presentazione libro ""A ojos a chelu. Con gli occhi rivolti al cielo"" . Raccolta di testi sacri popolari in sardo logudorese e italiano di Nughedu San Nicolò.","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Concerto Intorno alla tarantella","Indirizzo della Sede di: Biblioteca Vallicelliana di Roma","Roma"
"Sabato 17 dicembre le ""Letture di Natale"" del Centro per il libro","Indirizzo della Sede di: Centro per il libro e la lettura","Roma"
"Musama' for family – Speciale  Natale | La Cantata dei Pastori nel Presepe Cuciniello","Indirizzo della Sede di: Certosa e Museo di San Martino","Napoli"
"Apertura straordinaria del Complesso monumentale della Pilotta","Indirizzo della Sede di: Complesso Monumentale della Pilotta","Parma"
"""...E lucemi da lato.,"" - Gioacchino da Fiore e Dante Alighieri","Indirizzo della Sede di: Direzione regionale Musei Calabria","San Giovanni in Fiore"
"Pasquetta 2022_Copia_Copia","Indirizzo della Sede di: Galleria Borghese","Roma"
"Pasquetta 2022_Copia_Copia_Copia","Indirizzo della Sede di: Galleria Borghese","Roma"
"Natale in Galleria - Gli eventi di dicembre della Galleria nazionale di Cosenza - ""Il Magliocco"". Un antico vitigno autoctono calabrese""","Indirizzo della Sede di: Galleria nazionale di Cosenza","Cosenza"
"PASOLINI NARRATORE DI STORIE DIVERSE DI GENTE NORMALE. Ciclo di eventi ed incontri dedicati al ricordo di Pier Paolo Pasolini in occasione del centenario della nascita (1922 – 2022)","Indirizzo della Sede di: Istituto Centrale per i Beni Sonori ed Audiovisivi","Roma"
"PASOLINI NARRATORE DI STORIE DIVERSE DI GENTE NORMALE.  Ciclo di eventi ed incontri dedicati al ricordo di Pier Paolo Pasolini in occasione del centenario della nascita (1922 – 2022)","Indirizzo della Sede di: Istituto Centrale per i Beni Sonori ed Audiovisivi","Roma"
"ABITARE IL CANTO. Dall'alba al tramonto alla Cattolica di Stilo","Indirizzo della Sede di: La Cattolica","Stilo"
"DOMUS ARTIUM in intimità con la grande musica","Indirizzo della Sede di: Ministero della cultura","Roma"
"Lunedì 26 dicembre apertura straordinaria del MAN Marche.","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"Lunedì 26 dicembre apertura straordinaria del MAN Marche._Copia","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"“Guardare il passato. Pilot action del Progetto Transfer sulle fornaci repubblicane di Pollentia-Urbs Salvia”.","Indirizzo della Sede di: Museo archeologico statale e Parco archeologico di Urbs Salvia","Urbisaglia"
"Disegno dal vero in Floridiana: le porcellane giapponesi di tipo Imari e Kakiemon","Indirizzo della Sede di: Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"Natale al Museo diocesano di Reggio Calabria. Calendario eventi","Indirizzo della Sede di: Museo diocesano Mons. Aurelio Sorrentino","Reggio di Calabria"
"Ri-pensare Bisanzio/ri-pensare Ravenna. La rilettura novecentesca di miti e architetture_Copia","Indirizzo della Sede di: Museo nazionale di Ravenna","Ravenna"
"Apertura straordinaria di Palazzo Pepoli Campogrande_Copia_Copia","Indirizzo della Sede di: Palazzo Pepoli Campogrande","Bologna"
