,topic,lat,long
118,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131552,43.86351,11.161464
119,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131559,43.955173,10.234322
120,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138297,43.932266,10.918188
121,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139162,41.608086,13.419392
122,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/145986,41.86956,12.568359
123,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131412,44.284466,11.89411
124,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133630,44.898872,8.196986
125,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762,41.832275,12.471991
126,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135707,45.32259,8.421118
127,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139432,45.64095,13.774565
128,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/147125,41.86956,12.568359
129,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/148896,41.86956,12.568359
130,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100000,41.734238,14.032534
131,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100003,42.36481,13.726747
132,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100005,41.784336,14.108263
133,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100007,42.06468,13.601874
134,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100008,41.766426,13.943778
135,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100009,42.03376,13.774808
136,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100010,42.12461,13.843567
137,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100016,41.78097,13.829742
138,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100017,42.028038,13.665535
139,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100018,41.88859,14.064273
140,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100019,41.870743,14.066418
141,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100020,41.93447,13.977474
142,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100021,42.182087,13.769924
143,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100026,42.04683,13.925648
144,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100027,42.04789,13.924167
145,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100028,42.038643,13.922411
146,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100030,42.049007,13.925863
