"p","predicate"
"https://w3id.org/italia/onto/POT/hasCurrency",35370
"https://w3id.org/italia/onto/POT/hasCurrencyValue",35370
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyAvailability",35319
"https://w3id.org/arco/ontology/movable-property/hasUnitCell",35315
"https://w3id.org/arco/ontology/natural-specimen-description/hasUnitCell",35315
"https://w3id.org/arco/ontology/movable-property/hasSpaceGroup",35183
"https://w3id.org/arco/ontology/natural-specimen-description/hasSpaceGroup",35183
"https://w3id.org/arco/ontology/movable-property/hasCrystalSystem",35113
"https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalSystem",35113
"https://w3id.org/arco/ontology/movable-property/hasPointGroup",34981
"https://w3id.org/arco/ontology/movable-property/hasCrystalClass",34981
"https://w3id.org/arco/ontology/natural-specimen-description/hasPointGroup",34981
"https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalClass",34981
"https://w3id.org/arco/ontology/catalogue/hasUpdateScientificRevisor",34210
"https://w3id.org/arco/ontology/context-description/noticeDate",33235
"https://w3id.org/arco/ontology/context-description/activityPlaceAndPeriod",32862
"http://www.w3.org/2002/07/owl#versionInfo",32507
"https://w3id.org/arco/ontology/context-description/isReusedBy",32190
"https://w3id.org/arco/ontology/location/hasTypeOfContext",31804
"http://dati.beniculturali.it/cis/isSiteOf",31581
"https://w3id.org/arco/ontology/context-description/archivalRecordLocation",31563
"https://w3id.org/italia/onto/CLV/hasSpatialCoverage",31237
"https://w3id.org/arco/ontology/movable-property/hasCrystalMorphology",31230
"https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalMorphology",31230
"https://w3id.org/italia/onto/CPV/hasBirthPlace",30707
"https://w3id.org/italia/onto/SM/hasWebSite",29881
"https://w3id.org/italia/onto/SM/isEmailOf",29875
"http://purl.org/dc/terms/modified",29378
"https://w3id.org/italia/onto/l0/hasDescription",29293
"http://dati.beniculturali.it/cis/isMemberOfColCultEnt",29292
"https://w3id.org/arco/ontology/denotative-description/hasPhotoSize",29151
"https://w3id.org/arco/ontology/location/hasTerritorialArea",28877
"http://purl.org/dc/terms/created",28702
"https://w3id.org/arco/ontology/context-description/useConditions",28277
"https://w3id.org/italia/onto/CLV/officialStreetName",28226
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertySpecification",28059
"https://w3id.org/italia/onto/CPV/dateOfBirth",27948
"http://purl.org/dc/terms/available",27520
"http://xmlns.com/foaf/0.1/primaryTopic",27520
"https://w3id.org/italia/onto/CLV/hasStreetToponym",27423
"https://w3id.org/arco/ontology/construction-description/hasConstructionSpace",27135
"https://w3id.org/arco/ontology/context-description/relatedWorkLocation",26874
"https://w3id.org/arco/ontology/context-description/hasCopyright",26056
"https://w3id.org/italia/onto/SM/hasTelephoneNumber",26025
"https://w3id.org/italia/onto/CPV/dateOfDeath",25617
"http://lod.xdams.org/reload/oad/hasProduction",24118
"https://w3id.org/italia/onto/CLV/long",23939
"https://w3id.org/italia/onto/CLV/lat",23939
"https://w3id.org/arco/ontology/arco/positionInSequence",23401
"http://purl.org/dc/elements/1.1/extent",22879
"http://purl.org/dc/terms/isPartOf",22020
"http://lod.xdams.org/reload/oad/has_level",22017
"https://w3id.org/arco/ontology/context-description/hasCopyrightHolder",21721
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyAccessibility",21682
"http://purl.org/dc/terms/subject",21664
"http://purl.org/dc/terms/provenance",21456
"http://lod.xdams.org/reload/oad/title",21455
"http://lod.xdams.org/reload/oad/referenceCode",21455
"http://dati.beniculturali.it/cis/isInSite",21455
"http://lod.xdams.org/reload/oad/startDate",21454
"http://lod.xdams.org/reload/oad/endDate",21454
"https://w3id.org/italia/onto/SM/emailAddress",21433
"https://w3id.org/italia/onto/SM/hasEmailType",21420
"https://w3id.org/italia/onto/TI/startTime",21341
"https://w3id.org/italia/onto/TI/endTime",21341
"http://dati.beniculturali.it/cis/isHostedBySite",21119
"https://w3id.org/arco/ontology/cataloguing-campaign/hasStatus",21069
"https://w3id.org/italia/onto/CPV/hasDeathPlace",20894
"https://w3id.org/arco/ontology/location/hasAltitude",20427
"https://w3id.org/italia/onto/CLV/toponymQualifier",20355
"https://w3id.org/arco/ontology/denotative-description/hasWritingSystem",19388
"https://w3id.org/arco/ontology/location/alt",18962
"https://w3id.org/arco/ontology/immovable-property/hasDesign",18553
"https://w3id.org/arco/ontology/construction-description/hasDesign",18553
"http://dati.beniculturali.it/cis/ISILidentifier",18218
"https://w3id.org/arco/ontology/context-description/hasDerivatedWorkType",18019
"https://w3id.org/arco/ontology/context-description/hasDetectionMethod",17856
"https://w3id.org/arco/ontology/context-description/hasInterventionType",17284
"https://w3id.org/arco/ontology/context-description/hasChangeOfAvailabilityType",17253
"https://w3id.org/arco/ontology/natural-specimen-description/hasIdentificationInTime",17206
"https://w3id.org/arco/ontology/immovable-property/hasInteriorSubdivision",17040
"https://w3id.org/arco/ontology/construction-description/hasInteriorSubdivision",17040
"http://rdfs.org/ns/void#triples",16542
"http://dati.beniculturali.it/cis/hasCISNameInTime",16243
"https://w3id.org/arco/ontology/context-description/address",16212
"https://w3id.org/arco/ontology/context-description/hasChangeOfAvailability",16154
"https://w3id.org/arco/ontology/context-description/uncertainAuthorshipAttribution",16136
"https://w3id.org/arco/ontology/context-description/archivalRecordSetTitle",16017
"https://w3id.org/arco/ontology/context-description/isLocatedIn",15915
"https://w3id.org/arco/ontology/context-description/isKeptIn",15871
"http://rdfs.org/ns/void#propertyPartition",15825
"http://rdfs.org/ns/void#property",15825
"https://w3id.org/arco/ontology/construction-description/numberOfFloors",15807
"https://w3id.org/arco/ontology/immovable-property/numberOfFloors",15807
"https://w3id.org/arco/ontology/location/hasToponymInTime",15380
"https://w3id.org/arco/ontology/denotative-description/hasFiligree",15379
"https://w3id.org/arco/ontology/immovable-property/refersToFloorOrLevel",15366
"https://w3id.org/arco/ontology/construction-description/refersToFloorOrLevel",15366
"https://w3id.org/arco/ontology/context-description/hasReproduction",15268
"https://w3id.org/arco/ontology/context-description/collectionUnitIdentifier",15265
"https://w3id.org/arco/ontology/natural-specimen-description/hasLabel",14491
"https://w3id.org/italia/onto/RO/forEntity",14425
"https://w3id.org/italia/onto/RO/holdsRoleInTime",14425
"https://w3id.org/arco/ontology/context-description/hasSurveyMethod",14332
"https://w3id.org/arco/ontology/context-description/hasUseFunction",13981
"https://w3id.org/arco/ontology/core/keyword",13974
"https://w3id.org/arco/ontology/natural-specimen-description/hasDirectHigherRank",13916
"https://w3id.org/italia/onto/CLV/hasHigherRank",13627
"https://w3id.org/arco/ontology/arco/RVERidentifier",13491
"https://w3id.org/arco/ontology/natural-specimen-description/bodyTranscript",13435
"https://w3id.org/arco/ontology/context-description/hasReproductionPosition",13093
"https://w3id.org/arco/ontology/construction-description/hasRoofStructure",12854
"https://w3id.org/arco/ontology/immovable-property/hasRoofStructure",12829
"https://w3id.org/arco/ontology/context-description/isResponsibilityFor",12774
"https://w3id.org/arco/ontology/denotative-description/hasLegibility",12761
"https://w3id.org/italia/onto/SM/telephoneNumber",12618
"https://w3id.org/arco/ontology/core/involvesAgent",12156
"https://w3id.org/arco/ontology/context-description/hasUser",12119
"https://w3id.org/arco/ontology/context-description/hasCoinIssuance",12051
"https://w3id.org/arco/ontology/context-description/hasIssuer",11651
"https://w3id.org/italia/onto/SM/url",11311
"https://w3id.org/arco/ontology/context-description/hasSurveyMotivation",11163
"https://w3id.org/arco/ontology/immovable-property/significantIconographicInformation",11078
"https://w3id.org/arco/ontology/construction-description/significantIconographicInformation",11078
"https://w3id.org/arco/ontology/construction-description/mainFacade",11037
"https://w3id.org/arco/ontology/context-description/isMemberOfNumismaticSeriesOf",10990
"https://w3id.org/arco/ontology/context-description/isCoinMemberOf",10990
"https://w3id.org/arco/ontology/immovable-property/numberOfFlights",10962
"https://w3id.org/arco/ontology/construction-description/numberOfFlights",10962
"https://w3id.org/arco/ontology/denotative-description/hasDesignationInTimeType",10847
"https://w3id.org/arco/ontology/location/pointType",10745
"https://w3id.org/arco/ontology/location/hasClericalAdministrativeArea",10632
"https://w3id.org/italia/onto/CLV/streetNumber",10593
