"s","label"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530872","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530875","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530885","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530886","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530887","Europa, ITALIA, Lazio, RM, Roma"
