,concept
374,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSMO
375,https://w3id.org/arco/ontology/arco/MusicHeritage
376,http://www.w3.org/2004/02/skos/core#Collection
377,https://w3id.org/italia/onto/CLV/GeometryType
378,https://w3id.org/arco/ontology/arco/MibacScopeOfProtection
379,https://w3id.org/arco/ontology/catalogue/AdditionalFormType
380,https://w3id.org/arco/ontology/catalogue/PrivacyLevel
381,https://w3id.org/arco/ontology/context-description/SurveyImageType
382,https://w3id.org/arco/ontology/context-description/TitleType
383,https://w3id.org/arco/ontology/context-description/AnomalyOrigin
384,https://w3id.org/arco/ontology/context-description/UseTypeSpecification
385,https://w3id.org/arco/ontology/context-description/CircumstanceType
386,https://w3id.org/arco/ontology/context-description/UseType
387,https://w3id.org/arco/ontology/context-description/Reliability
388,https://w3id.org/arco/ontology/context-description/ExportImportCertificationType
389,https://w3id.org/arco/ontology/context-description/AlternativeDatingType
390,https://w3id.org/arco/ontology/context-description/AnomalyType
391,https://w3id.org/arco/ontology/cultural-event/TimePeriodMeasurementUnit
392,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyAccessibility
393,https://w3id.org/arco/ontology/denotative-description/MeasurementType
394,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyAvailability
395,https://w3id.org/arco/ontology/denotative-description/TechnicalConcept
396,https://w3id.org/arco/ontology/denotative-description/Legibility
397,https://w3id.org/arco/ontology/denotative-description/IconographicOrDecorativeApparatusType
398,https://w3id.org/arco/ontology/denotative-description/CommunicationMediumType
399,https://w3id.org/arco/ontology/location/OldTownAdmistrativeType
400,https://w3id.org/arco/ontology/location/TypeOfContext
401,https://w3id.org/italia/onto/COV/Group
402,http://dati.beniculturali.it/cis/HolderOfArchive
403,https://w3id.org/arco/ontology/natural-specimen-description/BiologicalSubspecies
404,https://w3id.org/arco/ontology/arco/NumismaticPropertyFunctionalCategory
405,https://w3id.org/arco/ontology/context-description/ExportImportCertification
406,https://w3id.org/arco/ontology/context-description/LaboratoryTest
407,https://w3id.org/arco/ontology/context-description/LaboratoryTestType
408,https://w3id.org/arco/ontology/denotative-description/Counterstamp
409,https://w3id.org/italia/onto/CPV/Sex
410,https://w3id.org/arco/ontology/immovable-property/ConstructionElement
411,https://w3id.org/arco/ontology/construction-description/ConstructionElement
412,https://w3id.org/arco/ontology/denotative-description/Soil
413,https://w3id.org/arco/ontology/location/Soil
414,https://w3id.org/arco/ontology/natural-specimen-description/BotanicalVariety
415,https://w3id.org/arco/ontology/catalogue/CatalogueRecordCA
416,http://dati.beniculturali.it/cis/ImageObject
417,https://w3id.org/italia/onto/AccessCondition/TemporaryClosure
418,https://w3id.org/arco/ontology/cataloguing-campaign/CatalogueNumbersAssignment
419,https://w3id.org/italia/onto/TI/TimeIndexedEvent
420,https://w3id.org/arco/ontology/cataloguing-campaign/CataloguingActivity
421,https://w3id.org/arco/ontology/cataloguing-campaign/CataloguingOrDigitizationCampaign
422,https://w3id.org/arco/ontology/cataloguing-campaign/Protocol
423,https://w3id.org/arco/ontology/cataloguing-campaign/Application
424,http://www.w3.org/2002/07/owl#SymmetricProperty
425,http://dati.beniculturali.it/iccd/fotografico/DefinizioneOggetto
426,http://www.essepuntato.it/2014/03/fentry/Photograph
427,http://www.cidoc-crm.org/cidoc-crm/E28_Conceptual_Object
428,http://dati.beniculturali.it/iccd/fotografico/Foto
429,http://lod.xdams.org/reload/oad/levelOfDescription
430,http://dati.beniculturali.it/iccd/fotografico/LivelloDescrizione
431,http://www.cidoc-crm.org/cidoc-crm/E53_Place
432,http://www.geonames.org/ontology#Feature
433,http://lod.xdams.org/reload/oad/place
434,http://dati.san.beniculturali.it/SAN/luogo
435,http://dati.beniculturali.it/iccd/fotografico/Luogo
436,http://purl.org/spar/fabio/WorkCollection
437,https://w3id.org/italia/onto/ADMS/SemanticAssetDistribution
438,https://w3id.org/italia/onto/ADMS/Project
439,https://w3id.org/arco/ontology/catalogue/CatalogueRecordCF
440,http://dati.beniculturali.it/cis/CulturalEntity
441,https://w3id.org/arco/ontology/movable-property/Inclusion
442,https://w3id.org/arco/ontology/natural-specimen-description/Inclusion
443,https://w3id.org/arco/ontology/movable-property/TypeSpecimenIdentification
444,https://w3id.org/arco/ontology/natural-specimen-description/TypeSpecimenIdentification
445,https://w3id.org/arco/ontology/movable-property/Accession
446,https://w3id.org/arco/ontology/natural-specimen-description/Accession
447,https://w3id.org/arco/ontology/movable-property/Cleavage
448,https://w3id.org/arco/ontology/natural-specimen-description/Cleavage
449,https://w3id.org/arco/ontology/movable-property/CrystalHabit
450,https://w3id.org/arco/ontology/natural-specimen-description/CrystalHabit
451,https://w3id.org/arco/ontology/movable-property/GeologicalContext
452,https://w3id.org/arco/ontology/location/GeologicalContext
453,https://w3id.org/arco/ontology/movable-property/HostRock
454,https://w3id.org/arco/ontology/natural-specimen-description/HostRock
455,https://w3id.org/arco/ontology/movable-property/MineralDeposit
456,https://w3id.org/arco/ontology/location/MineralDeposit
457,https://w3id.org/arco/ontology/movable-property/MineralDepositType
458,https://w3id.org/arco/ontology/location/MineralDepositType
459,https://w3id.org/arco/ontology/denotative-description/Orientation
460,https://w3id.org/arco/ontology/movable-property/Outcrop
461,https://w3id.org/arco/ontology/location/Outcrop
462,https://w3id.org/arco/ontology/movable-property/OutcropType
463,https://w3id.org/arco/ontology/location/OutcropType
464,https://w3id.org/arco/ontology/movable-property/LaboratoryTestType
465,https://w3id.org/arco/ontology/natural-specimen-description/LaboratoryTestType
466,https://w3id.org/arco/ontology/construction-description/Stair
467,https://w3id.org/arco/ontology/movable-property/TypeOfTypeSpecimen
