,c
400,https://w3id.org/arco/ontology/cultural-event/TimePeriodMeasurementUnit
401,https://w3id.org/arco/ontology/cultural-event/UnifyingFactor
402,https://w3id.org/arco/ontology/denotative-description/Accessory
403,https://w3id.org/arco/ontology/denotative-description/AffixedElement
404,https://w3id.org/arco/ontology/denotative-description/AffixedElementType
405,https://w3id.org/arco/ontology/denotative-description/AgeRange
406,https://w3id.org/arco/ontology/denotative-description/Brand
407,https://w3id.org/arco/ontology/denotative-description/ClimateSituation
408,https://w3id.org/arco/ontology/denotative-description/CoatOfArms
409,https://w3id.org/arco/ontology/denotative-description/CoinDesign
410,https://w3id.org/arco/ontology/denotative-description/CoinLegend
411,https://w3id.org/arco/ontology/denotative-description/CommunicationMedium
412,https://w3id.org/arco/ontology/denotative-description/CommunicationMediumType
413,https://w3id.org/arco/ontology/denotative-description/ConservationStatus
414,https://w3id.org/arco/ontology/denotative-description/ConservationStatusType
415,https://w3id.org/arco/ontology/denotative-description/Counterstamp
416,https://w3id.org/arco/ontology/denotative-description/CulturalEntityTechnicalDescription
417,https://w3id.org/arco/ontology/denotative-description/CulturalEntityTechnicalStatus
418,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyAccessibility
419,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyAvailability
420,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyDefinition
421,https://w3id.org/arco/ontology/denotative-description/CulturalPropertySpecification
422,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyType
423,https://w3id.org/arco/ontology/denotative-description/Dedication
424,https://w3id.org/arco/ontology/denotative-description/DesignationInTime
425,https://w3id.org/arco/ontology/denotative-description/DesignationType
426,https://w3id.org/arco/ontology/denotative-description/Emblem
427,https://w3id.org/arco/ontology/denotative-description/Environment
428,https://w3id.org/arco/ontology/denotative-description/FontStyle
429,https://w3id.org/arco/ontology/denotative-description/FunctionalPurpose
430,https://w3id.org/arco/ontology/denotative-description/HistoricalPlaque
431,https://w3id.org/arco/ontology/denotative-description/IconographicOrDecorativeApparatus
432,https://w3id.org/arco/ontology/denotative-description/IconographicOrDecorativeApparatusType
433,https://w3id.org/arco/ontology/denotative-description/ImplementationMethod
434,https://w3id.org/arco/ontology/denotative-description/Inscription
435,https://w3id.org/arco/ontology/denotative-description/Legibility
436,https://w3id.org/arco/ontology/denotative-description/Logo
437,https://w3id.org/arco/ontology/denotative-description/Measurement
438,https://w3id.org/arco/ontology/denotative-description/MeasurementCollection
439,https://w3id.org/arco/ontology/denotative-description/MeasurementType
440,https://w3id.org/arco/ontology/denotative-description/NaturalEnvironment
441,https://w3id.org/arco/ontology/denotative-description/Orientation
442,https://w3id.org/arco/ontology/denotative-description/OrnamentalMotif
443,https://w3id.org/arco/ontology/denotative-description/SampleCollected
444,https://w3id.org/arco/ontology/denotative-description/SampleCollectedType
445,https://w3id.org/arco/ontology/denotative-description/Soil
446,https://w3id.org/arco/ontology/denotative-description/SoilUse
447,https://w3id.org/arco/ontology/denotative-description/Stamp
448,https://w3id.org/arco/ontology/denotative-description/Support
449,https://w3id.org/arco/ontology/denotative-description/TechnicalCharacteristic
450,https://w3id.org/arco/ontology/denotative-description/TechnicalConcept
451,https://w3id.org/arco/ontology/denotative-description/TechnicalDetailOccurrence
452,https://w3id.org/arco/ontology/denotative-description/WritingSystem
453,https://w3id.org/arco/ontology/immovable-property/ArchitecturalElement
454,https://w3id.org/arco/ontology/immovable-property/ArchitecturalEnsemble
455,https://w3id.org/arco/ontology/immovable-property/ArchitecturalOrder
456,https://w3id.org/arco/ontology/immovable-property/Building
457,https://w3id.org/arco/ontology/immovable-property/Built-inFurnishingElement
458,https://w3id.org/arco/ontology/immovable-property/Chimney
459,https://w3id.org/arco/ontology/immovable-property/ConnectionElement
460,https://w3id.org/arco/ontology/immovable-property/Construction
